Trading Name,Trading Code,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
Starbucks Corporation,SBUX,84.02,-0.19,-0.23%,6.433M,6.418M,99.755B,28.77
General Electric Company,GE,11.44,-0.08,-0.69%,44.122M,58.255M,99.912B,N/A
Commonwealth Bank of Australia,CMWAY,54.85,-0.06,-0.10%,16838,11929,96.927B,14.32
Volkswagen AG,VLKPF,195,-5,-2.50%,214,390,98.269B,6.39
3M Company,MMM,170.54,-1.34,-0.78%,2.168M,2.657M,98.069B,20.22
American Express Company,AXP,119.66,-1.1,-0.91%,2.558M,3.162M,97.914B,14.45
CVS Health Corporation,CVS,75.1,0.81,+1.09%,8.292M,7.146M,97.702B,21.15
Industria de Diseno Textil  S.A.,IDEXF,31,0.51,+1.67%,640,709,97.608B,23.92
Industria de Diseno Textil  S.A.,IDEXY,15.59,0.17,+1.10%,472857,118806,97.063B,24.06
Volkswagen AG,VWAPY,19.41,-0.76,-3.77%,49513,78146,96.991B,6.36
Volkswagen AG,VLKAF,192.1,-7.9,-3.95%,382,1324,96.807B,6.3
Volkswagen AG,VWAGY,19.38,-0.62,-3.10%,78826,91806,96.392B,N/A
Petroleo Brasileiro S.A. - Petrobras,PBR,15.1,-0.34,-2.20%,12.329M,16.175M,95.446B,N/A
Commonwealth Bank of Australia,CBAUF,54.52,-0.17,-0.31%,500,920,96.927B,14.23
HDFC Bank Limited,HDB,61.39,-0.57,-0.92%,1.057M,2.008M,96.29B,118.63
Petroleo Brasileiro S.A. - Petrobras,PBR-A,13.83,-0.43,-3.02%,3.929M,6.118M,95.446B,18.84
E. I. du Pont de Nemours and Company,CTA-PB,109.51,-0.99,-0.90%,2268,2090,95.033B,N/A
American Tower Corporation (REIT),AMT,214.33,0.96,+0.45%,1.295M,1.73M,94.935B,59.52
Diageo plc,DGEAF,39.8,0.35,+0.89%,273,5353,94.281B,24.86
Diageo plc,DEO,160.53,0.4,+0.25%,201364,366746,94.281B,25.07
