Trading Code,Trading Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
Berkshire Hathaway Inc.,BRK-A,329405,103,+0.03%,318,279,537.131B,20.08
Amazon.com Inc.,AMZN,1739.49,-15.11,-0.86%,3.931M,2.941M,862.434B,77.08
Bank of America Corporation,BAC-PL,1470,-4.89,-0.33%,11774,9065,289.105B,541.84
Wells Fargo & Company,WFC-PL,1469.6,8.1,+0.55%,3999,15213,229.685B,316.18
Alphabet Inc.,GOOG,1334.87,23.41,+1.79%,1.531M,1.27M,920.183B,28.64
Alphabet Inc.,GOOGL,1333.54,24.39,+1.86%,1.965M,1.291M,920.183B,28.62
Danaher Corporation,DHR-PA,1126.96,35.12,+3.22%,37114,12784,103.656B,334.31
Charter Communications Inc.,CHTR,475.6,-4.37,-0.91%,831120,1.102M,102.149B,86.19
LVMH Moet Hennessy - Louis Vuitton Societe Europeenne,LVMHF,448.1,2.98,+0.67%,919,584,224.85B,32.27
Lockheed Martin Corporation,LMT,393.55,3.39,+0.87%,1.534M,1.072M,111.009B,18.71
The Boeing Company,BA,371.68,4.24,+1.15%,5.497M,4.515M,209.178B,55.94
Broadcom Inc.,AVGO,312.91,3.94,+1.28%,1.812M,2.09M,124.122B,44.03
Thermo Fisher Scientific Inc.,TMO,306.81,5.97,+1.98%,1.627M,1.411M,123.028B,34.51
Costco Wholesale Corporation,COST,303.66,-0.93,-0.31%,1.707M,2.143M,133.506B,36.76
Roche Holding AG,RHHVF,300,1.05,+0.35%,1,6167,254.782B,24.43
Adobe Inc.,ADBE,297.5,2.97,+1.01%,2.012M,2.741M,144.014B,52.94
Roche Holding AG,RHHBF,295.49,0,0.00%,50,50,253.892B,N/A
Netflix Inc.,NFLX,295.03,5.41,+1.87%,6.338M,8.139M,129.297B,94.53
L'Oreal S.A.,LRLCF,286.55,-0.25,-0.09%,129,1253,160.95B,36.3
Mastercard Incorporated,MA,280.78,1.15,+0.41%,2.545M,3.423M,283.268B,41.76
ASML Holding N.V.,ASML,274.97,5.24,+1.94%,670740,644473,115.278B,39.51
UnitedHealth Group Incorporated,UNH,269.4,13.57,+5.30%,10.138M,4.271M,255.234B,19.6
ASML Holding N.V.,ASMLF,268.68,0,0.00%,51550,10050,113.081B,38.61
Apple Inc.,AAPL,265.76,3.12,+1.19%,25.094M,25.967M,1.201T,22.35
Allianz SE,ALIZF,243.51,3.76,+1.57%,76,309,102.877B,12.37
The Home Depot Inc.,HD,237.29,0.74,+0.31%,3.527M,3.491M,259.868B,23.67
NextEra Energy Inc.,NEE,231.42,1.55,+0.67%,1.846M,2.064M,113.113B,34.59
Amgen Inc.,AMGN,220.86,2.36,+1.08%,1.808M,2.469M,131.231B,16.99
Berkshire Hathaway Inc.,BRK-B,219.74,0.38,+0.17%,3.477M,3.658M,537.13B,0.01
Linde plc,LIN,209.71,1.07,+0.51%,1.805M,1.367M,112.651B,23.19
NVIDIA Corporation,NVDA,204.19,-5.6,-2.67%,26.355M,8.685M,124.352B,52.29
Volkswagen AG,VLKPF,200,2.55,+1.29%,194,393,100.388B,6.56
Accenture plc,ACN,196.81,0.56,+0.29%,2.426M,1.869M,125.164B,26.74
Facebook Inc.,FB,195.1,1.95,+1.01%,11.53M,13.147M,556.376B,31.19
McDonald's Corporation,MCD,193.97,-0.03,-0.02%,2.992M,3.931M,146.077B,25.46
Alibaba Group Holding Limited,BABA,185.49,2.69,+1.47%,11.313M,13.31M,484.287B,53.04
Honeywell International Inc.,HON,181.75,2.1,+1.17%,3.243M,2.773M,129.867B,21.22
Visa Inc.,V,179.77,0.02,+0.01%,7.81M,7.145M,401.144B,33.81
