Trading Name,Trading Code,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM)
BTC/USD,BTCUSD=X,7813.751,52.5078,+0.6765%,, ,,
ETH/USD,ETHUSD=X,155.871,0.5669,+0.3650%,, ,,
EUR/USD,EURUSD=X,1.102,0,-0.0000%,, ,,
USD/JPY,JPY=X,109.48,0,0.0000%,, ,,
GBP/USD,GBPUSD=X,1.2933,0,-0.0000%,, ,,
AUD/USD,AUDUSD=X,0.6765,0,-0.0000%,, ,,
NZD/USD,NZDUSD=X,0.6424,0,-0.0064%,, ,,
EUR/JPY,EURJPY=X,120.62,0,0.00%,, ,,
GBP/JPY,GBPJPY=X,141.59,0,0.00%,, ,,
EUR/GBP,EURGBP=X,0.8518,0,0.00%,, ,,
EUR/CAD,EURCAD=X,1.4621,0,0.00%,, ,,
EUR/SEK,EURSEK=X,10.5465,0,0.00%,, ,,
EUR/CHF,EURCHF=X,1.1019,0,0.00%,, ,,
EUR/HUF,EURHUF=X,334.48,0,0.00%,, ,,
EUR/JPY,EURJPY=X,120.62,0,0.00%,, ,,
USD/CNY,CNY=X,7.0307,0,0.0000%,, ,,
USD/HKD,HKD=X,7.8279,0,0.0000%,, ,,
USD/SGD,SGD=X,1.3667,0,0.0000%,, ,,
USD/INR,INR=X,71.745,0,0.0000%,, ,,
USD/MXN,MXN=X,19.563,0,0.0000%,, ,,
USD/PHP,PHP=X,50.84,0,0.0000%,, ,,
USD/IDR,IDR=X,14100,0,0.0000%,, ,,
USD/THB,THB=X,30.18,0,0.0000%,, ,,
USD/MYR,MYR=X,4.175,0,0.0000%,, ,,
USD/ZAR,ZAR=X,14.6822,0,0.0000%,, ,,
USD/RUB,RUB=X,64.3707,0,0.0000%,, ,,
