Trading Name,Trading Code,RIC,Mkt Cap ($M),Tot. Rev ($M),P/E,Yield (%),Sector,GTI Score
3Cnergy,502,CNER.SI,27.603,0.205,,,Real Estate,70
8Telecom,AZG,ETEL.SI,7.902,1.591,,,Technology Equipment,57
A-Smart,BQC,ASMA.SI,36.687,6.92,,,Industrial & Commercial Services,31
A-Sonic Aero,BTJ,ASON.SI,13.463,299.666,6.19,4.35,Transportation,53
AA,5GZ,AAGH.SI,14.247,21.251,,,Industrial Goods,37
ABR,533,ABRH.SI,144.717,125.398,82.76,2.78,Food & Beverages,67
Abterra,L5I,ABTR.SI,13.164,199.853,,,Energy - Fossil Fuels,-6
Abundance Intl,541,ABUN.SI,12.224,489.2,,,Industrial & Commercial Services,61
Accordia Golf Tr,ADQU,ACCO.SI,660.346,636.07,,6.28,Cyclical Consumer Services,69
Accrelist Ltd,QZG,ACCR.SI,24.006,167.111,215,,Technology Equipment,
Ace Achieve Info,A75,ACEA.SI,6.024,35.922,6.94,,Technology Equipment,42
Acesian Partners,5FW,ACES.SI,5.483,20.376,1.82,,Industrial & Commercial Services,37
Acma,AYV,ACMA.SI,4.324,95.393,,,Industrial Goods,62
Acromec,43F,ACRO.SI,8.037,32.311,,,Industrial & Commercial Services,54
Addvalue Tech,A31,AVAU.SI,46.806,5.325,,,Technology Equipment,51
Advanced,BLZ,ADVA.SI,9.317,69.338,,,Energy - Fossil Fuels,53
Advanced Systems,5TY,ADSA.SI,22.324,17.643,,,Technology Equipment,62
Advancer Global,43Q,ADVN.SI,46.687,68.866,231.25,2.16,Industrial & Commercial Services,53
Adventus,5EF,ADVE.SI,7.802,0,,,Industrial & Commercial Services,31
AEI,AWG,AEIC.SI,42.915,8.634,,,Mineral Resources,60
AEM,AWX,AEM.SI,489.221,273.832,12.1,2.18,Technology Equipment,69
AF Global,L38,AFGL.SI,143.567,29.812,,3.68,Cyclical Consumer Services,66
AGV,1A4,AGVG.SI,5.578,2.933,,,Mineral Resources,40
AIMS APAC Reit,O5RU,AIMA.SI,989.529,118.078,19.46,6.02,Real Estate,77.3
AIMS Property,BVP,APW.AX,65.567,11.375,6.61,1.36,Real Estate,
AliPictures HKD,S91,ALIB.SI,35453.535,3389.682,,,Cyclical Consumer Services,
Alita Resources,40F,ALIT.SI,115.12,67.585,,,Mineral Resources,48
Alliance HC,MIJ,ALLA.SI,40.538,36.512,127.45,,Healthcare Services,
Allied Tech,A13,ALLT.SI,19.474,116.264,,0.91,Industrial Goods,46
Alpha Energy,5TS,ALPH.SI,76.763,0,,,Software & IT Services,45
Amara,A34,AMRA.SI,265.391,106.278,7.95,2.17,Cyclical Consumer Services,55
AMOS,RF7,AMOS.SI,51.947,129.391,,,Industrial Goods,60
Amplefield Ltd,AOF,AMPL.SI,17.112,10.792,32.76,,Real Estate,49
AnAn Intl,Y35,ANAN.SI,16.949,2546.056,,,Energy - Fossil Fuels,47
